lemma	prediction	token	number
habeo	habitus	habitum	1
quantus界que	quantum界que	quantumque	2
utor	usus	usus	2
milia	mille	milibus	1
una	unus	una	1
egredior	egressus	egressus	1
ieiunium	ieiunus	ieiunii	1
multi界que	multus界que	pluresque	1
Abram	abeo	Abram	1
Abram	aber	Abram	3
Abraham	abraho	Abraham	2
Abraham	abraho	Abrahae	2
uinco	uictus	uictum	1
Lot	Lotha	Loth	1
Lot	lothus	Loth	1
Gomorrha	Gomorra	Gomorrae	1
uernula	uernulus	uernulas	1
inclytus	inclutus	inclytus	1
secretus	secretum	secreta	1
sui	suus	sui	2
Melchisedech	Melchisentichus	Melchisedech	1
angelus	angelor	angelorum	1
trinitas	trinitus	trinitas	1
Sara	Sarra	Sarra	1
patrius	patria	patria	1
cluis	cluo	cluis	1
unus	una	una	3
qui界ue	quis界ue	quaeue	1
christicola	Christicola	Christicolas	1
salutiferus	salutifer	salutiferas	1
armo	arma	armas	1
Uirtus	uirtus	Uirtutum	1
Adam	adeo	Adam	1
Belias	Belia	Belias	1
boni	bonus	boni	1
lex	lego	legi	1
sanctus	Xanctus	Xancta	1
zabolicus	Zabolicus	Zabolicam	1
Henoch	Enochus	Enoch	1
chananeus	Chananaeus	Chananaei	1
traicio	traiectus	Traiectum	1
Abel	abel	Abel	1
ineptus	inepte	inepte	1
reus	res	rei	1
omnipotens	Omnipotens	Omnipotens	1
totus	totum	totum	1
colo	conor	colatis	1
adulteror	adultero	Adulterari	1
sponsum	sponsa	sponsa	1
Noe	noe	Noe	1
unum	unus	unum	11
Hieroboam	Hieroboa	Hieroboam	1
tribus	tres	tribus	1
Israel	Israeles	Israel	1
Israel	Israceles	Israhel	5
totum	totus	totum	1
copulatus	copulo	copulata	1
Rahab	Rhaus	Rhaab	1
pascha	Pascha	Paschae	1
Exodus	exodi	Exodi	1
sanctum	sanctus	sanctum	1
unanimis	unanimus	unanimes	2
iure	ius	iure	2
Leuites	leuis	leuites	1
Israeliticus	Isracelica	Israheliticae	1
absque	ab界que	absque	2
Hebraeus	Hebraei	Hebraeorum	3
Hebraeus	Hebraei	Hebraeos	1
Hebraeus	hebraeus	hebraeis	1
eremus	heres	heremum	1
interdico	interdictum	interdictum	1
concupiscentia	concupisco	concupiscentiam	1
concupiscentia	concupisco	concupiscentiae	1
ingemisco	ingemo	ingemuit	2
[ROMAN_NUMBER]	tu	XI	1
[ROMAN_NUMBER]	tu	XU	2
[ROMAN_NUMBER]	Lyreionus	LXXXIIII	1
[ROMAN_NUMBER]	uiuus	UII	1
[ROMAN_NUMBER]	tius	XII	1
[ROMAN_NUMBER]	les	LXX	1
turpis	turpe	turpia	1
dedecorosus	dedecorus	dedecorosa	1
diuinus	diuinum	diuina	1
inquio	inquieo	inquiens	1
Bethleem	Bethlex	Bethlehem	1
proficiscor	profectus	profecti	1
Semei	Semeius	Semei	1
is	eo	eo	4
Abisai	abito	Abisai	1
Iemini	iemo	Iemini	1
diabolus	diabolo	diabolo	3
superus	superius	superius	1
pseudopropheta	pseudopro	pseudoprophetis	1
uniuersus	uniuersum	uniuersum	1
sol	solus	solis	1
suus	sui	sui	1
suus	sui	suos	1
suus	suum	sua	1
Tobias	tomus	Tobis	2
morior	mortuus	mortuum	1
morior	mortuus	mortuus	2
arcesso	accersus	adcersitur	1
defunctus	defungor	defunctos	1
defunctus	defungor	defuncto	3
defunctus	defungor	defunctis	2
uio	uians	uiantes	1
uio	uiantum	uiantum	1
Iob	is	Iob	1
Ecclesiastes	ecclesio	Ecclesiastes	1
stultus	stulti	stultorum	1
merx	merces	merces	1
alimonia	alimonius	alimoniam	1
cupio	cupiens	cupiens	1
fenero	faenero	faenerauit	1
elemosyna	Elemosynus	elemosynam	1
elemosyna	elemosinus	elemosinae	1
multi	multus	multi	2
multus	multi	multis	2
multus	multum	multum	1
Helius	Helion	Helio	1
Hadrianus	Adrianus	Adriano	1
Aelia	Helia	Helia	1
Occidens	occidens	occidentem	1
Beniamin	Beniamis	Beniamin	3
portula	portulus	portula	1
Iosaphat	iosapho	Iosaphat	2
Thecuitis	Thecuites	Thecuitis	1
septentrio	septemtrio	septemtrione	1
Cedron	cedrus	Cedron	1
septentrionalis	septemtrion	septemtrionali	1
martyrium	Martyrius	Martyrium	2
martyrium	Martyrius	Martyrii	1
Constantinus	constantinus	Constantinus	2
Constantinus	constantinus	Constantinum	1
altare	altar	altare	1
altare	alto	altare	2
anastasis	Anastas	Anastasis	1
occidentalis	occidentalia	occidentali	1
Uulturnus	uulturnus	uulturnum	1
eurus	Eurus	eurum	1
orior	oriens	oriente	1
appono	appositus	adpositus	1
summitas	submitas	summitatem	1
tego	tectum	tectum	1
tego	texo	texuerunt	1
ostium	hostis	hostium	2
quadratus	quadratum	quadratum	1
dexter	dextera	dextera	1
operculum	operculus	operculi	1
potus	poto	potus	1
medio	medior	mediante	1
Saracenus	Saraceni	Saraceni	1
Saracenus	Sarraceni	Sarracenos	1
subrigo	surgo	subrectis	1
Bethsaida	Bethsaidus	Bethsaida	1
iugis	iugerum	iugibus	1
ebullio	ebulleo	ebullit	1
uenio	ueneo	uenire	1
Maria	mare	Maria	1
lapido	lapidatus	lapidatus	1
protomartyr	protomarter	protomartyr	1
medium	medius	medio	1
secundus	secundum	secundum	1
secundus	Secundus	Secundus	1
euangelizo	euangelito	euangelizamus	1
euangelizo	euangelitar	euangelizarem	1
apostolicus	apostolica	apostolicam	1
unigenitus	unigenio	unigenitus	1
senior	senex	seniores	2
Graecus	graecus	graecas	1
intimo	intero	intimauerat	1
euangelium	euangelius	euangeliis	1
Moyses	Moysi	Moysi	2
Moyses	Moyse	Moyse	1
Pharisaeus	pharisaeus	pharisaei	1
Hebraicus	hebraicus	hebraicae	2
Hebraicus	hebraicus	hebraica	1
Hebraicus	hebraicus	hebraicum	1
Hebraicus	hebraicus	hebraicam	1
dictum	dico	dicta	1
ceterus	cetera	cetera	1
ceterus	cetera	ceteris	3
ceterus	ceteri	ceteros	1
ceterus	ceteri	ceteri	1
ceterus	ceteri	Ceteri	1
ceterus	ceteri	ceteris	1
bresith	bresitho	Bresith	1
tanto	tantus	tanto	1
perfectus	perficio	perfecti	1
diapsalmus	diapsalma	diapsalmis	1
translator	transfero	translatorum	2
christus	Christus	Christum	4
Pilatus	Pilato	Pilato	2
subdo	subditor	subditorum	1
Caiphas	Caichae	Caiphae	1
cognomino	cognominor	cognominati	1
cognomino	cognominor	cognominari	1
cognomino	cognominor	cognominaretur	1
ius	iure	iure	1
diapsalma	diapsalmal	diapsalma	1
persono	persona	persona	1
constringo	constrictus	constrictus	1
conuenio界conuenio	conuenio	conuenerunt	1
crucifigo	crucifige	crucifige	1
profectus	proficiscor	profectum	3
custodio	custodia	custodias	1
modus	modo	modo	1
malus界ue	malum界ue	malumue	1
indemutabilis	indemitabilis	indemutabilis	1
decerno	decretum	decreti	1
iustificatus	iustifico	iustificati	1
accidens	accido	accidentis	1
accidens	accido	accidentibus	6
impaenitens	impaenite	inpaenitentem	1
modero	moderatus	moderatus	1
subigo	subiectus	subiectum	2
Sodomum	sodomus	Sodomum	2
similago	similagine	similaginem	1
thymiama	thymiamus	thymiama	1
neomenia	neomenius	neomenias	1
electus	eligo	electum	1
sollemne	sollemnitas	sollemnitates	1
Maxentius	Maxentes	Maxentium	3
suffero	tollo	sustulerat	1
suffero	tollo	sublatis	1
concito	concitatus	concitatus	1
nuntius	nuntium	nuntio	1
turbo	turbatus	turbatus	1
depono	depositum	depositum	1
desertus	desero	deserto	1
factum	facio	facto	1
Herculeius	Herculeus	Herculius	1
munio	munitus	munita	1
Romanus	Romani	Romani	1
Seuerus	seuerus	Seueri	1
utensilis	utensilia	utensilia	1
Dacicus	Daciscus	Daciscum	1
Hieremias	Hieremia	Hieremiae	4
Hieremias	Hieremia	Hieremias	3
Hieremias	Hieremia	Hieremiam	1
Helchias	Helchia	Helchiae	1
Anathoth	Anathothena	Anathoth	1
Anathoth	Anathothus	Anathoth	1
Iosias	Iosia	Iosiae	5
Sedecias	Sedecia	Sedeciae	1
Sedecias	sedecia	Sedecia	1
Osee	os	Osee	1
Ioel	Ione	Iohel	1
Daniel	Danihel	Danihel	1
Aggaeus	Aggeus	Aggeus	1
Zacharia	Zacharius	Zacharias	1
Ezechiel	Hiezelhium	Hiezechiel	1
Ezechiel	Hiezenlilus	Hiezechiel	1
Ioacim	Ioiaci	Ioiacim	1
Babylonius	Babylonii	Babyloniis	1
Ioachaz	Ioacha	Ioachaz	1
Iechonias	Iechonia	Iechoniae	1
supradico	supradictum	supradictis	1
Tanis	Taphnis	Taphnis	1
malo	male	malens	1
exordior	exorsus	exorsus	1
haeresis	heres	heresis	1
haeresis	haeresimus	haeresim	1
reperio	repertum	reperta	1
circumflecto	circumflectus	circumflexa	1
antepaenultimus	antepaenus	antepaenultima	1
uniuersalis	unusersalis	uniuersalibus	1
intellectus	intelligo	Intellectus	1
particularis	particula	particularibus	2
sumo	sumptus	sumptus	1
subtiliter界que	subtilis界que	subtiliusque	1
subsistentia	subsisto	subsistentia	4
subsistentia	subsisto	subsistentiam	1
subiectum	subicio	subiectum	2
subiectum	subiectus	subiecta	1
subiectum	subiectus	subiecto	1
differentia	differens	differentiis	1
subigo界que	subiectus界que	subiectaeque	1
sum界sum	sum	est	1
deitas	deitatus	deitatis	1
ecclesiasticus	ecclesia	ecclesiasticus	1
ut	utor	uti	1
uerus	uerum	uerum	2
cognosco	cognusco	cognusceret	1
Chlodouechus	Chlodouehhus	Chlodouechi	3
internecio	internitio	internitionem	1
Chrotchildis	Chrothiles	Chrotchildis	1
uictoria界que	uicturia界que	uicturiamque	1
uictoria	uicturia	uicturiam	2
baptizo	baptifer	baptizer	1
baptizo	baptizaris	baptizari	1
baptizo	baptizatus	baptizati	1
baptizo	baptizata	Baptizata	1
elongo	elongatus	elongati	1
aduersarius	aduersaria	aduersariis	1
dicio	ditio	ditionibus	1
tuus	tu	tui	1
baptismum	baptimmus	baptismo	1
baptismum	baptismus	baptismum	1
Remedius	remedium	Remedium	1
Remensis	remetior	Remensis	1
deprecor	depraeco	depraecans	1
uado	uadum	uado	1
conuenio	conueniens	Conueniens	1
suum	sui	suis	1
pius	pie	pie	1
repletus	repleo	repletus	1
depingo	depicio	depictis	1
curtinus	curtina	curtinis	1
adorno	adurno	adurnantur	1
baptisterium	baptistirium	baptistirium	1
baptisterium	baptistririum	baptistirii	1
diffundo	difundo	difunduntur	1
paradisus	paradus	paradisi	1
sordeo界que	sordens界que	sordentesque	1
Sigamber	sigamber	Sigamber	1
rhetoricus	rethoricus	rethoricis	1
adprimum	apprimum	adprimum	1
Siluester	siluestris	Siluestri	2
aequor	equor	equaretur	1
delibuo界que	delebundo界que	delebutusque	1
chrisma	crismate	crismate	1
signaculum	signaculus	signaculo	1
Albofledis	Albolles	Albofledis	2
consolaturius	consolaturia	consolaturiam	1
Lantechildis	lantephilis	Lantechildis	1
Arianus	Arriani	Arrianorum	1
crismo	crismatus	crismata	1
salue	salueo	salue	1
uola	uolo	uolas	1
sospitas	sospitatus	sospitatis	1
coniecto	conicio	coniectas	1
scriptus	scriptum	scriptus	1
decursus	decursor	decursorum	1
astipulo	astipulor	adstipulatur	1
tui	tuus	tuorum	1
qui界que	quod界que	quodque	1
qui界que	quisque	quaeque	1
intersero界que	intersum界que	interseritque	1
multifariam	multifarius	multifariam	1
scaturigo	scaturrigo	scaturrigines	1
tapinoma	tapinomatus	tapinomata	1
Archimedes	Archimes	Archimede	1
horoscopium	horoscopius	horoscopium	1
Perdix	perdice	Perdice	1
Uitruuius	uitruuium	Uitruuio	1
Zetes	Zeto	Zeto	1
Hieronymus	Ierunym	Hieronymus	1
Lactantius	Lactanter	Lactantius	1
dis	diues	ditia	1
trochaeus	trochaeum	trochaeis	1
pyrrhichius	pyrrhichium	pyrrhichiis	1
Molossicus	molossicus	molossicas	1
epitritus	epitritor	epitritorum	1
paeon界que	paeo界que	paeonumque	1
tesca	testa	tesqua	1
confragus	confraga	confraga	1
musicus	musica	musicae	1
ample	amplus	amplius	1
multum	multus	plus	2
aliquantisper	aliquantim	aliquantisper	1
potius	potis	potiorum	1
ambifarius	ambifaria	ambifariam	1
Merouingus	Meroingi	Meroingorum	1
Franci	Francus	Franci	1
Franci	Francus	Francis	1
Franci	Francus	Francorum	1
Franci	Francius	Franci	1
Hildricus	Hilerricus	Hildricum	1
trudo	trusus	trusus	1
Palatium	palatium	palatii	2
Palatium	palatium	palatium	1
dominans	dominor	dominantis	1
proprium	proprius	proprii	1
Karolus	Carolus	Karoli	2
Karolus	Carolus	Karolus	1
Karolus	Carolas	Karolus	2
Karolus	Carlus	Karlo	1
hereditarius	hereditarium	hereditario	1
Pictauium	Pictauius	Pictauium	1
Karlomannus	Carlomannus	Karlomanno	3
Karlomannus	Carlomannus	Karlomannus	3
Karlomannus	Carlomanius	Karlomannus	1
Karlomannus	Carlomani	Karlomanni	1
succendo	succensus	succensus	1
Benedictus	benedico	Benedicti	1
Waifarius	kaifarius	Waifarium	1
intercus	intercuro	intercutis	1
propono	propositum	propositum	1
optimates	bonus	optimatum	1
exsisto	existimus	existentibus	1
Desiderius	desiderium	Desiderii	1
