lemma	prediction	token	number
Uarius	uarius	Uarius	1
Bucolica	Bucolicus	Bucolica	5
Bucolica	bucolicus	bucolicis	1
primus	primum	primum	1
surripio	subripio	subrepto	1
Facelinus	Fascelina	Fascelinam	1
Admetus	admetum	Admeto	1
nympha	Nympha	Nympharum	1
satyrus	Satyri	Satyrorum	1
Pan	Panis	Panos	1
Faunus	Fauni	Faunorum	1
ultimus	ultimum	ultimum	1
Theocritus	Theocrites	Theocriti	1
Georgica	Georgicus	Georgica	1
Aeneis	Aeneides	Aeneidem	1
idus	Idus	Iduum	1
Caius	Gucius	C.	1
Caius	Gaius	C.	1
ceterus	ceteri	ceteris	1
Uergilius	Uirgilius	Uergilius	2
suus	sui	suorum	1
meritum	merito	merito	1
Baeticus	Baetica	Baetica	1
sequor	sequens	sequens	1
insideo	insido	insedere	1
erudio	eruditus	eruditus	1
Graece	graece	graece	1
profectus	proficiscor	profectus	1
poetica	poeticus	poetica	2
poetica	poeticus	poeticae	1
Pompeius	Pompeii	Pompeii	1
scriptum	scribo	scriptum	1
interdico	interdictum	interdictum	1
calumnio	calumnior	calumniantibus	1
Iliacon	Iliacus	Iliacon	1
Catachthonion	Catachtonion	Catachthonion	1
Silua	silua	Siluarum	1
prorsus	proro	prosa	1
sagitta	Sagitta	Sagittam	1
antiquus	antiqui	antiqui	1
graece	Graece	Graece	1
uicus界ue	uicus界que	uicorumue	1
praeses	praesidium	praesidi	1
Attica	Atticus	Atticae	1
cantilena	cantilenus	cantilena	1
comissor	comesso	comessatum	1
appotus	appoto	appotis	1
comicus	comica	comicas	1
Eupolis	Eupolas	Eupolis	1
Ilias	Iliades	Iliadem	1
tantus界que	tantum界que	tantumque	1
haudquaquam	quamquam	quaquam	1
decorus	decus	decora	1
propono	propositum	propositi	1
musicus	musica	musicam	1
insignis	insigne	insignia	1
quinquepartitus	quinquepartito	quinquepartito	1
ortus	orior	ortus	1
cunabulum	cunabula	cunabulis	1
satyra	satyrus	satyra	1
satyra	satyrus	satyram	1
modus	modo	modo	1
poesis	poesin	poesin	1
malus	malum	malo	1
congruus	congruo	congrua	1
uetus	ueteres	ueterum	1
armatus	armati	armatis	2
suspicio	suspitio	suspitione	2
placitus	placeo	placitum	1
Ucalegon	Ucalegontus	Ucalegonti	1
Dolon	Doloni	Doloni	1
Sapor	sapor	Sapor	2
Papa	Papae	Papae	1
Aspacures	aspacurs	Aspacures	1
Uictor	uictor	Uictorem	1
Uictor	uictor	Uictor	1
Sauromaces	Sauromaci	Sauromaci	1
Sauromaces	Sauromaci	Sauromacis	1
noster	nostri	nostri	1
solitus	soleo	solitum	1
Urbicius	urbicius	Urbicius	1
exter	extremum	extremis	1
circumsto	circumsisto	circumsteterat	1
Gothia	Gothias	Gothiae	1
Eous	eous	eoos	1
tractus	traho	tractus	1
Tripolis	Tripolei	Tripoleos	1
manes	Manes	manes	1
Remigius	remigius	Remigius	2
Leo	leo	Leo	1
lues	luo	luis	1
Romanus	Romani	Romani	1
actus	ago	actus	1
Equitius	equitium	Equitio	1
Robur	robur	Robur	1
Illyricum	Illyricus	Illyrici	1
uerus	uer	ueris	1
gero	gestor	gestorum	1
