token	lemma	pos	Gend
rei	res	NOM	_
uoluisset	uolo	VER	_
quod	quod	CONsub	_
sua	suus	PROpos.ref	Neut
mandata	mandatum	NOM	_
perferre	perfero	VER	_
non	non	ADVneg	_
opportuno	opportunus	ADJqua	MascNeut
tempore	tempus	NOM	_
ad	ad	PRE	_
Pompeium	pompeius	NOM	_
uererentur	uereor	VER	_

milites	miles	NOM	_
tamen	tamen	ADV	_
omnes	omnis	PROind	MascFem
in	in	PRE	_
armis	arma	NOM	_
esse	sum	VER	_
iussit	iubeo	VER	_
regem	rex	NOM	_
-que	que	CONcoo	_
hortatus	hortor	VER	Masc
ut	ut	CONsub	_
ex	ex	PRE	_
suis	suus	PROpos.ref	Com
necessariis	necessarius	NOM	_
quos	qui	PROrel	Masc
haberet	habeo	VER	_
maximae	magnus	ADJqua	Fem
auctoritatis	auctoritas	NOM	_
legatos	legatus	NOM	_
ad	ad	PRE	_
Achillam	achillas	NOM	_
mitteret	mitto	VER	_
et	et	CONcoo	_
quid	quis	PROint	Neut
esset	sum	VER	_
suae	suus	PROpos.ref	Fem
uoluntatis	uoluntas	NOM	_
ostenderet	ostendo	VER	_

Trebonius	trebonius	NOM	_
ea	is	PROdem	Neut
quae	qui	PROrel	Neut
amissa	amitto	VER	Neut
multo	multus	ADJqua	MascNeut
maiore	magnus	ADJqua	Com
militum	miles	NOM	_
studio	studium	NOM	_
administrare	administro	VER	_
et	et	CONcoo	_
reficere	reficio	VER	_
instituit	instituo	VER	_

his	hic	PROdem	Com
rebus	res	NOM	_
impulsus	impello	VER	Masc
equitatum	equitatus	NOM	_
omnem	omnis	PROind	MascFem
prima	primus	ADJord	Fem
nocte	nox	NOM	_
ad	ad	PRE	_
castra	castra	NOM	_
hostium	hostis	NOM	_
mittit	mitto	VER	_
ad	ad	PRE	_
flumen	flumen	NOM	_
Bagradam	bagrada	NOM	_
quibus	qui	PROrel	Com
praeerat	praesum	VER	_
Saburra	saburra	NOM	_
de	de	PRE	_
quo	qui	PROrel	MascNeut
ante	ante	ADV	_
auditum	audio	VER	Neut
sed	sed	CONcoo	_
rex	rex	NOM	_
cum	cum	PRE	_
omnibus	omnis	PROind	Com
copiis	copia	NOM	_
insequebatur	insequor	VER	_
et	et	CONcoo	_
6	6	ADJcar	_
milium	mille	ADJcar	Com
passuum	passus	NOM	_
interuallo	interuallum	NOM	_
ab	ab	PRE	_
Saburra	saburra	NOM	_
consederat	consido	VER	_

legiones	legio	NOM	_
effecerat	efficio	VER	_
ciuium	ciuis	NOM	_
Romanorum	romanus	ADJqua	MascNeut
VIIII	nouem	ADJcar	_
5	5	ADJcar	_
ex	ex	PRE	_
Italia	italia	NOM	_
quas	qui	PROrel	Fem
traduxerat	traduco	VER	_
unam	unus	ADJcar	Fem
ex	ex	PRE	_
Cilicia	cilicia	NOM	_
ueteranam	ueteranus	ADJqua	Fem
quam	qui	PROrel	Fem
factam	facio	VER	Fem
ex	ex	PRE	_
duabus	duo	ADJcar	Fem
gemellam	gemellus	ADJqua	Fem
appellabat	appello	VER	_
unam	unus	ADJcar	Fem
ex	ex	PRE	_
Creta	creta	NOM	_
et	et	CONcoo	_
Macedonia	macedonia	NOM	_
ex	ex	PRE	_
ueteranis	ueteranus	ADJqua	Com
militibus	miles	NOM	_
qui	qui	PROrel	Masc
dimissi	dimitto	VER	Masc
a	ab	PRE	_
superioribus	superus	ADJqua	Com
imperatoribus	imperator	NOM	_
in	in	PRE	_
his	hic	PROdem	Com
prouinciis	prouincia	NOM	_
consederant	consido	VER	_
duas	duo	ADJcar	Fem
ex	ex	PRE	_
Asia	asia	NOM	_
quas	qui	PROrel	Fem
Lentulus	lentulus	NOM	_
consul	consul	NOM	_
conscribendas	conscribo	VER	Fem
curauerat	curo	VER	_

qua	qui	PROrel	Fem
re	res	NOM	_
animaduersa	animaduerto	VER	Fem
Caesar	caesar	NOM	_
copias	copia	NOM	_
suas	suus	PROpos.ref	Fem
diuisit	diuido	VER	_
partem	pars	NOM	_
-que	que	CONcoo	_
legionum	legio	NOM	_
in	in	PRE	_
castris	castra	NOM	_
Pompei	pompeius	NOM	_
remanere	remaneo	VER	_
iussit	iubeo	VER	_
partem	pars	NOM	_
in	in	PRE	_
sua	suus	PROpos.ref	Neut
castra	castra	NOM	_
remisit	remitto	VER	_
IIII	quatuor	ADJcar	_
se	sui	PROref	_
-cum	cum	PRE	_
legiones	legio	NOM	_
duxit	duco	VER	_
commodiore	commodus	ADJqua	Com
-que	que	CONcoo	_
itinere	iter	NOM	_
Pompeianis	pompeiani	NOM	_
occurrere	occurro	VER	_
coepit	coepio	VER	_
et	et	CONcoo	_
progressus	progredior	VER	Masc
milia	mille	ADJcar	Neut
passuum	passus	NOM	_
6	6	ADJcar	_
aciem	acies	NOM	_
instruxit	instruo	VER	_

nam	nam	CONcoo	_
et	et	CONcoo	_
peruenit	peruenio	VER	_
priusquam	priusquam	CONsub	_
Pompeius	pompeius	NOM	_
sentire	sentio	VER	_
posset	possum	VER	_
et	et	CONcoo	_
tametsi	tametsi	CONsub	_
erant	sum	VER	_
munitiones	munitio	NOM	_
castrorum	castra	NOM	_
magnae	magnus	ADJqua	Fem
tamen	tamen	ADV	_
sinistro	sinister	ADJqua	MascNeut
cornu	cornu	NOM	_
ubi	ubi	ADVrel	_
erat	sum	VER	_
ipse	ipse	PROdem	Masc
celeriter	celeriter	ADV	_
adgressus	aggredior	VER	Masc
Pompeianos	pompeiani	NOM	_
ex	ex	PRE	_
uallo	uallum	NOM	_
deturbauit	deturbo	VER	_

erat	sum	VER	_
plena	plenus	ADJqua	Fem
lictorum	lictor	NOM	_
et	et	CONcoo	_
imperiorum	imperium	NOM	_
prouincia	prouincia	NOM	_
differta	differtus	ADJqua	Fem
praefectis	praefectus	NOM	_
atque	atque	CONcoo	_
exactoribus	exactor	NOM	_
qui	qui	PROrel	Masc
praeter	praeter	PRE	_
imperatas	impero	VER	Fem
pecunias	pecunia	NOM	_
suo	suus	PROpos.ref	MascNeut
etiam	etiam	ADV	_
priuato	priuatus	ADJqua	MascNeut
conpendio	compendium	NOM	_
seruiebant	seruio	VER	_
dictitabant	dictito	VER	_
enim	enim	CONcoo	_
se	sui	PROref	_
domo	domus	NOM	_
patria	patria	NOM	_
-que	que	CONcoo	_
expulsos	expello	VER	Masc
omnibus	omnis	PROind	Com
necessariis	necessarius	ADJqua	Com
egere	egeo	VER	_
rebus	res	NOM	_
ut	ut	CONsub	_
honesta	honestus	ADJqua	Fem
praescriptione	praescriptio	NOM	_
rem	res	NOM	_
turpissimam	turpis	ADJqua	Fem
tegerent	tego	VER	_

prouinciae	prouincia	NOM	_
Q	quintus	NOM	_
Cassium	cassius	NOM	_
praeficit	praeficio	VER	_
huic	hic	PROdem	Com
4	4	ADJcar	_
legiones	legio	NOM	_
adtribuit	attribuo	VER	_

conclamatur	conclamo	VER	_
ad	ad	PRE	_
arma	arma	NOM	_
atque	atque	CONcoo	_
omnes	omnis	PROind	MascFem
copiae	copia	NOM	_
paucis	paucus	ADJqua	Com
praesidio	praesidium	NOM	_
relictis	relinquo	VER	Com
cohortibus	cohors	NOM	_
exeunt	exeo	VER	_
recto	rectus	ADJqua	MascNeut
-que	que	CONcoo	_
ad	ad	PRE	_
Hiberum	iberus	NOM	_
itinere	iter	NOM	_
contendunt	contendo	VER	_

musculus	musculus	NOM	_
ex	ex	PRE	_
turri	turris	NOM	_
latericia	latericius	ADJqua	Fem
a	ab	PRE	_
nostris	noster	PROpos	Com
telis	telum	NOM	_
tormentis	tormentum	NOM	_
-que	que	CONcoo	_
defenditur	defendo	VER	_
hostes	hostis	NOM	_
ex	ex	PRE	_
muro	murus	NOM	_
ac	ac	CONcoo	_
turribus	turris	NOM	_
submouentur	submoueo	VER	_
non	non	ADVneg	_
datur	do	VER	_
libera	liber	ADJqua	Fem
muri	murus	NOM	_
defendendi	defendo	VER	MascNeut
facultas	facultas	NOM	_

quibus	qui	PROrel	Com
omnibus	omnis	PROind	Com
rebus	res	NOM	_
sublatus	tollo	VER	Masc
nihil	nihil	PROind	_
contra	contra	PRE	_
se	sui	PROref	_
regem	rex	NOM	_
misurum	nitor	VER	MascNeut
existimabat	existimo	VER	_

Curio	curio	NOM	_
cum	cum	PRE	_
omnibus	omnis	PROind	Com
copiis	copia	NOM	_
quarta	quartus	ADJord	Fem
uigilia	uigilia	NOM	_
exierat	exeo	VER	_
cohortibus	cohors	NOM	_
5	5	ADJcar	_
castris	castra	NOM	_
praesidio	praesidium	NOM	_
relictis	relinquo	VER	Com

multum	multum	ADV	_
autem	autem	CONcoo	_
ab	ab	PRE	_
ictu	ictus	NOM	_
lapidum	lapis	NOM	_
quod	qui	PROrel	Neut
unum	unus	ADJcar	Neut
nostris	nostri	PROpos	Com
erat	sum	VER	_
telum	telum	NOM	_
uiminea	uimineus	ADJqua	Neut
tegimenta	tegimentum	NOM	_
galeis	galea	NOM	_
inposita	impono	VER	Neut
defendebant	defendo	VER	_

hic	hic	PROdem	Masc
fuit	sum	VER	_
oppugnationis	oppugnatio	NOM	_
exitus	exitus	NOM	_

eodem	idem	PROdem	MascNeut
tempore	tempus	NOM	_
500	500	NOM	_
Laelius	laelius	NOM	_
cum	cum	PRE	_
classe	classis	NOM	_
ad	ad	PRE	_
Brundisium	brundisium	NOM	_
uenit	uenio	VER	_
eadem	idem	PROdem	Fem
-que	que	CONcoo	_
ratione	ratio	NOM	_
qua	qui	PROrel	Fem
factum	facio	VER	MascNeut
a	ab	PRE	_
Libone	libo	NOM	_
antea	antea	ADV	_
demonstrauimus	demonstro	VER	_
insulam	insula	NOM	_
obiectam	obicio	VER	Fem
portui	portus	NOM	_
Brundisino	brundisinus	ADJqua	MascNeut
tenuit	teneo	VER	_

eo	eo	ADV	_
cum	cum	CONsub	_
a	ab	PRE	_
Q	quintus	NOM	_
Pedio	pedius	NOM	_
praetore	praetor	NOM	_
cum	cum	PRE	_
legione	legio	NOM	_
lapide	lapis	NOM	_
ictus	ico	VER	Masc
ex	ex	PRE	_
muro	murus	NOM	_
perit	pereo	VER	_

hi	hic	PROdem	Masc
regum	rex	NOM	_
amicos	amicus	NOM	_
ad	ad	PRE	_
mortem	mors	NOM	_
deposcere	deposco	VER	_
hi	hic	PROdem	Masc
bona	bonum	NOM	_
locupletum	locuples	ADJqua	Com
diripere	diripio	VER	_
stipendii	stipendium	NOM	_
augendi	augeo	VER	MascNeut
causa	causa	NOM	_
regis	rex	NOM	_
domum	domus	NOM	_
obsidere	obsideo	VER	_
regno	regnum	NOM	_
expellere	expello	VER	_
alios	alius	PROind	Masc
alios	alius	PROind	Masc
arcessere	arcesso	VER	_
uetere	uetus	ADJqua	Com
quodam	quidam	PROind	MascNeut
Alexandrini	alexandrinus	ADJqua	MascNeut
exercitus	exercitus	NOM	_
instituto	institutum	NOM	_
consuerant	consuesco	VER	_

in	in	PRE	_
eo	is	PROdem	MascNeut
loco	locus	NOM	_
ipse	ipse	PROdem	Masc
erat	sum	VER	_
Pompeius	pompeius	NOM	_

hunc	hic	PROdem	Masc
sic	sic	ADV	_
distulit	differo	VER	_
uentus	uentus	NOM	_
uti	ut	CONsub	_
uno	unus	ADJcar	MascNeut
tempore	tempus	NOM	_
agger	agger	NOM	_
plutei	pluteus	NOM	_
testudo	testudo	NOM	_
turris	turris	NOM	_
tormenta	tormentum	NOM	_
flammam	flamma	NOM	_
conciperent	concipio	VER	_
et	et	CONcoo	_
haec	hic	PROdem	Neut
omnia	omnis	PROind	Neut
consumerentur	consumo	VER	_
quam	priusquam	CONsub	_
quemadmodum	quemadmodum	ADVint	_
accidisset	accido	VER	_
animaduerti	animaduerto	VER	_
posset	possum	VER	_

hi	hic	PROdem	Masc
suos	suus	PROpos.ref	Masc
notos	notus	ADJqua	Masc
hospites	hospes	NOM	_
-que	que	CONcoo	_
quaerebant	quaero	VER	_
per	per	PRE	_
quem	qui	PROrel	Masc
quisque	quisque	PROind	MascFem
eorum	is	PROdem	MascNeut
aditum	aditus	NOM	_
commendationis	commendatio	NOM	_
haberet	habeo	VER	_
ad	ad	PRE	_
Caesarem	caesar	NOM	_

ille	ille	PROdem	Masc
in	in	PRE	_
sua	suus	PROpos.ref	Fem
sententia	sententia	NOM	_
perseuerat	perseuero	VER	_
et	et	CONcoo	_
paulum	paulum	ADV	_
ex	ex	PRE	_
eo	is	PROdem	MascNeut
loco	locus	NOM	_
digreditur	digredior	VER	_
ut	ut	CONsub	_
timorem	timor	NOM	_
aduersariis	aduersarius	NOM	_
minuat	minuo	VER	_

quibus	qui	PROrel	Com
de	de	PRE	_
causis	causa	NOM	_
consilio	consilium	NOM	_
conuocato	conuoco	VER	MascNeut
de	de	PRE	_
summa	summa	NOM	_
rerum	res	NOM	_
deliberare	delibero	VER	_
incipit	incipio	VER	_

neque	neque	CONcoo	_
minus	parum	ADV	_
ob	ob	PRE	_
eam	is	PROdem	Fem
causam	causa	NOM	_
ciuibus	ciuis	NOM	_
Romanis	romanus	ADJqua	Com
eius	is	PROdem	Com
prouinciae	prouincia	NOM	_
sed	sed	CONcoo	_
in	in	PRE	_
singulos	singulus	ADJdis	Masc
conuentus	conuentus	NOM	_
singulas	singulus	ADJdis	Fem
-que	que	CONcoo	_
ciuitates	ciuitas	NOM	_
certae	certus	ADJqua	Fem
pecuniae	pecunia	NOM	_
imperabantur	impero	VER	_
mutuas	mutuus	ADJqua	Fem
-que	que	CONcoo	_
illas	ille	PROdem	Fem
ex	ex	PRE	_
senatus	senatus	NOM	_
consulto	consultum	NOM	_
exigi	exigo	VER	_
dictitabant	dictito	VER	_
publicanis	publicanus	NOM	_
ut	ut	CONsub	_
ii	is	PROdem	Masc
sortem	sors	NOM	_
fecerant	facio	VER	_
insequentis	insequor	VER	Com
anni	annus	NOM	_
uectigal	uectigal	NOM	_
promutuum	promutuus	ADJqua	MascNeut

qui	qui	PROrel	Masc
de	de	PRE	_
meis	meus	PROpos	Com
in	in	PRE	_
uos	uos	PROper	_
meritis	meritum	NOM	_
praedicaturus	praedico	VER	Masc
non	non	ADVneg	_
sum	sum	VER	_
quae	qui	PROrel	Neut
sunt	sum	VER	_
adhuc	adhuc	ADV	_
et	et	CONcoo	_
mea	meus	PROpos	Fem
uoluntate	uoluntas	NOM	_
et	et	CONcoo	_
uestra	uester	PROpos	Fem
exspectatione	exspectatio	NOM	_
leuiora	leuis	ADJqua	Neut
sed	sed	CONcoo	_
tamen	tamen	ADV	_
sui	suus	PROpos.ref	MascNeut
laboris	labor	NOM	_
milites	miles	NOM	_
semper	semper	ADV	_
euentu	euentus	NOM	_
belli	bellum	NOM	_
praemia	praemium	NOM	_
petiuerunt	peto	VER	_
qui	qui	PROrel	Masc
qualis	qualis	PROint	MascFem
sit	sum	VER	_
futurus	sum	VER	Masc
ne	ne	ADVneg	_
uos	uos	PROper	_
quidem	quidem	ADV	_
dubitatis	dubito	VER	_

hoc	hic	PROdem	Neut
adeo	adeo	ADV	_
celeriter	celeriter	ADV	_
fecit	facio	VER	_
ut	ut	CONsub	_
simul	simul	ADV	_
adesse	assum	VER	_
et	et	CONcoo	_
uenire	uenio	VER	_
nuntiaretur	nuntio	VER	_
et	et	CONcoo	_
quo	quo	CONsub	_
iter	iter	NOM	_
expeditius	expedite	ADV	_
faceret	facio	VER	_
1000	1000	NOM	_
Fauonium	fauonius	NOM	_
ad	ad	PRE	_
flumen	flumen	NOM	_
Haliacmonem	aliacmon	NOM	_
quod	qui	PROrel	Neut
Macedoniam	macedonia	NOM	_
a	ab	PRE	_
Thessalia	thessalia	NOM	_
diuidit	diuido	VER	_
cum	cum	PRE	_
cohortibus	cohors	NOM	_
8	8	ADJcar	_
praesidio	praesidium	NOM	_
impedimentis	impedimentum	NOM	_
legionum	legio	NOM	_
reliquit	relinquo	VER	_
castellum	castellum	NOM	_
-que	que	CONcoo	_
ibi	ibi	ADV	_
muniri	munio	VER	_
iussit	iubeo	VER	_

haec	hic	PROdem	Neut
erant	sum	VER	_
milia	mille	ADJcar	Neut
45	45	ADJcar	_
45	45	ADJcar	_
euocatorum	euocati	NOM	_
circiter	circiter	ADV	_
duo	duo	ADJcar	MascNeut
quae	qui	PROrel	Neut
ex	ex	PRE	_
beneficiariis	beneficiarius	NOM	_
superiorum	superus	ADJqua	Com
exercituum	exercitus	NOM	_
ad	ad	PRE	_
eum	is	PROdem	Masc
conuenerant	conuenio	VER	_
quae	qui	PROrel	Neut
tota	totus	PROind	Fem
acie	acies	NOM	_
disperserat	dispergo	VER	_

cui	qui	PROrel	Com
re	res	NOM	_
missis	mitto	VER	Com
ad	ad	PRE	_
Caesarem	caesar	NOM	_
legatis	legatus	NOM	_
auxilium	auxilium	NOM	_
ab	ab	PRE	_
eo	is	PROdem	MascNeut
petebant	peto	VER	_
reliqua	reliquus	ADJqua	Neut
ut	ut	ADVrel	_
poterant	possum	VER	_
incommoda	incommodum	NOM	_
per	per	PRE	_
se	sui	PROref	_
sustinebant	sustineo	VER	_

simul	simul	ADV	_
animaduertit	animaduerto	VER	_
multa	multus	ADJqua	Neut
undique	undique	ADV	_
portari	porto	VER	_
atque	atque	CONcoo	_
agi	ago	VER	_
plenissimis	plenus	ADJqua	Com
uiis	uia	NOM	_
quae	qui	PROrel	Neut
repentini	repentinus	ADJqua	MascNeut
tumultus	tumultus	NOM	_
timore	timor	NOM	_
ex	ex	PRE	_
agris	ager	NOM	_
in	in	PRE	_
urbem	urbs	NOM	_
conferebantur	confero	VER	_

Pompeius	pompeius	NOM	_
autem	autem	CONcoo	_
ut	ut	CONsub	_
famam	fama	NOM	_
opinionem	opinio	NOM	_
-que	que	CONcoo	_
hominum	homo	NOM	_
teneret	teneo	VER	_
sic	sic	ADV	_
pro	pro	PRE	_
castris	castra	NOM	_
exercitum	exercitus	NOM	_
constituebat	constituo	VER	_
ut	ut	CONsub	_
tertia	tertius	ADJord	Fem
acies	acies	NOM	_
uallum	uallum	NOM	_
contingeret	contingo	VER	_
omnis	omnis	PROind	MascFem
quidem	quidem	ADV	_
instructus	instructus	ADJqua	Masc
exercitus	exercitus	NOM	_
telis	telum	NOM	_
ex	ex	PRE	_
uallo	uallum	NOM	_
abiectis	abicio	VER	Com
protegi	protego	VER	_
posset	possum	VER	_

idem	idem	PROdem	MascNeut
hoc	hic	PROdem	Neut
50	50	NOM	_
Lentulo	lentulus	NOM	_
qui	qui	PROrel	Masc
superiore	superus	ADJqua	Com
anno	annus	NOM	_
consul	consul	NOM	_
fuerat	sum	VER	_
et	et	CONcoo	_
P	publius	NOM	_
Lentulo	lentulus	NOM	_
consulari	consularis	NOM	_
ac	ac	CONcoo	_
nonnullis	nonnullus	PROind	Com
aliis	alius	PROind	Com
acciderat	accido	VER	_
Rhodi	rhodus	NOM	_
qui	qui	PROrel	Masc
cum	cum	CONsub	_
ex	ex	PRE	_
fuga	fuga	NOM	_
Pompeium	pompeius	NOM	_
sequerentur	sequor	VER	_
atque	atque	CONcoo	_
in	in	PRE	_
insulam	insula	NOM	_
uenissent	uenio	VER	_
oppido	oppidum	NOM	_
ac	ac	CONcoo	_
portu	portus	NOM	_
recepti	recipio	VER	Masc
non	non	ADVneg	_
missis	mitto	VER	Com
-que	que	CONcoo	_
ad	ad	PRE	_
eos	is	PROdem	Masc
nuntiis	nuntius	NOM	_
ut	ut	CONsub	_
ex	ex	PRE	_
his	hic	PROdem	Com
locis	locus	NOM	_
discederent	discedo	VER	_
contra	contra	PRE	_
uoluntatem	uoluntas	NOM	_
suam	suus	PROpos.ref	Fem
naues	nauis	NOM	_
soluerant	soluo	VER	_

his	hic	PROdem	Com
paratis	paro	VER	Com
rebus	res	NOM	_
magnum	magnus	ADJqua	MascNeut
numerum	numerus	NOM	_
leuis	leuis	ADJqua	Com
armaturae	armatura	NOM	_
et	et	CONcoo	_
sagittariorum	sagittarius	NOM	_
aggerem	agger	NOM	_
-que	que	CONcoo	_
omnem	omnis	PROind	MascFem
noctu	noctu	ADV	_
in	in	PRE	_
scaphas	scapha	NOM	_
et	et	CONcoo	_
naues	nauis	NOM	_
actuarias	actuarius	ADJqua	Fem
inponit	impono	VER	_
et	et	CONcoo	_
de	de	PRE	_
media	medius	ADJqua	Fem
nocte	nox	NOM	_
cohortes	cohors	NOM	_
60	60	ADJcar	_
ex	ex	PRE	_
maximis	magnus	ADJqua	Com
castris	castra	NOM	_
praesidiis	praesidium	NOM	_
-que	que	CONcoo	_
deductas	deduco	VER	Fem
ad	ad	PRE	_
eam	is	PROdem	Fem
partem	pars	NOM	_
munitionum	munitio	NOM	_
ducit	duco	VER	_
quae	qui	PROrel	Fem
pertinebat	pertineo	VER	_
ad	ad	PRE	_
mare	mare	NOM	_
longissime	longe	ADV	_
-que	que	CONcoo	_
a	ab	PRE	_
maximis	magnus	ADJqua	Com
castris	castra	NOM	_
Caesaris	caesar	NOM	_
aberat	absum	VER	_

is	is	PROdem	Masc
locus	locus	NOM	_
aberat	absum	VER	_
a	ab	PRE	_
nouis	nouus	ADJqua	Com
Pompei	pompeius	NOM	_
castris	castra	NOM	_
circiter	circiter	ADV	_
passus	passus	NOM	_
quingentos	quingenti	ADJcar	Masc

sed	sed	CONcoo	_
haec	hic	PROdem	Fem
eius	is	PROdem	Com
diei	dies	NOM	_
praefertur	praefero	VER	_
opinio	opinio	NOM	_
ut	ut	CONsub	_
se	sui	PROref	_
utrique	uterque	PROind	Masc
superiores	superus	ADJqua	MascFem
discessisse	discedo	VER	_
existimarent	existimo	VER	_
Afraniani	afraniani	NOM	_
quod	quod	CONsub	_
cum	cum	CONsub	_
esse	sum	VER	_
omnium	omnis	PROind	Com
iudicio	iudicium	NOM	_
inferiores	inferus	ADJqua	MascFem
uiderentur	uideo	VER	_
comminus	comminus	ADV	_
tamdiu	tamdiu	ADV	_
stetissent	sto	VER	_
et	et	CONcoo	_
nostrorum	nostri	PROpos	MascNeut
impetum	impetus	NOM	_
sustinuissent	sustineo	VER	_
et	et	CONcoo	_
initio	initium	NOM	_
locum	locus	NOM	_
tumulum	tumulus	NOM	_
-que	que	CONcoo	_
tenuissent	teneo	VER	_
quae	qui	PROrel	Fem
causa	causa	NOM	_
pugnandi	pugno	VER	_
fuerat	sum	VER	_
et	et	CONcoo	_
nostros	nostri	PROpos	Masc
primo	primus	ADJord	MascNeut
congressu	congressus	NOM	_
terga	tergum	NOM	_
uertere	uerto	VER	_
coegissent	cogo	VER	_
nostri	nostri	PROpos	Masc
autem	autem	CONcoo	_
quod	quod	CONsub	_
iniquo	iniquus	ADJqua	MascNeut
loco	locus	NOM	_
atque	atque	CONcoo	_
impari	impar	ADJqua	Com
congressi	congredior	VER	Masc
numero	numerus	NOM	_
quinque	quinque	ADJcar	_
horis	hora	NOM	_
proelium	proelium	NOM	_
sustinuissent	sustineo	VER	_
quod	quod	CONsub	_
montem	mons	NOM	_
gladiis	gladius	NOM	_
destrictis	destringo	VER	Com
ascendissent	ascendo	VER	_
quod	quod	CONsub	_
ex	ex	PRE	_
loco	locus	NOM	_
superiore	superus	ADJqua	Com
terga	tergum	NOM	_
uertere	uerto	VER	_
aduersarios	aduersarius	NOM	_
coegissent	cogo	VER	_
atque	atque	CONcoo	_
in	in	PRE	_
oppidum	oppidum	NOM	_
compulissent	compello	VER	_

haec	hic	PROdem	Neut
eodem	idem	PROdem	MascNeut
fere	fere	ADV	_
tempore	tempus	NOM	_
Caesar	caesar	NOM	_
atque	atque	CONcoo	_
Pompeius	pompeius	NOM	_
cognoscunt	cognosco	VER	_

tenuis	tenuis	ADJqua	Com
atque	atque	CONcoo	_
infirmi	infirmus	ADJqua	MascNeut
haec	hic	PROdem	Neut
animi	animus	NOM	_
uideri	uideo	VER	_

quo	qui	PROrel	MascNeut
perfecto	perficio	VER	MascNeut
opere	opus	NOM	_
illi	ille	PROdem	Masc
de	de	PRE	_
deditione	deditio	NOM	_
missis	mitto	VER	Com
legatis	legatus	NOM	_
agere	ago	VER	_
coeperunt	coepio	VER	_

Scipioni	scipio	NOM	_
obuenit	obuenio	VER	_
Syria	syria	NOM	_
50	50	NOM	_
Domitio	domitius	NOM	_
Gallia	gallia	NOM	_

unusquisque	unusquisque	PROind	Masc
enim	enim	CONcoo	_
opiniones	opinio	NOM	_
fingebat	fingo	VER	_
et	et	CONcoo	_
ad	ad	PRE	_
id	is	PROdem	Neut
